Title,Idea Num,Idea Unit,score_Angela
Animal Cells,2,The cell membrane is a layer around the outside of the cell. ,1
Animal Cells,3,It (cell membrane) gives the cell shape. ,0
Animal Cells,5,The cell membrane controls what materials move into and out of the cell. ,1
Animal Cells,7,The cell membrane is filled with a gel-like liquid called cytoplasm. ,0
Animal Cells,9,Cytoplasm is made mostly of water. ,1
Animal Cells,10,A variety of organelles float in the cytoplasm. ,0
Animal Cells,11,The cytoplasm supports all the cell’s structures.,0
Animal Cells,12,It is constantly moving through the cell in a stream-like motion. ,1
Animal Cells,14,"One organelle in the animal cell is the nucleus,",1
Animal Cells,15,The cell’s control center (nucleus) ,1
Animal Cells,16,"It (nucleus) is a large, round organelle ",1
Animal Cells,17,Usually found in the center of the cell (nucleus) ,1
Animal Cells,18,"It (nucleus) has a membrane with pores, or openings, that allow certain materials to pass in and out. ",0
Animal Cells,20,It (nucleus) sends signals to all other parts of the cell. ,0
Animal Cells,22,"These functions (grow, move, divide) are controlled by a cell’s nucleus. ",0
Animal Cells,23,Mitochondria are also found in the animal cell. ,1
Animal Cells,24,"They (mitochondria) are oval, membrane-covered organelles ",0
Animal Cells,25,That supply energy for the cell ,0
Animal Cells,26,Each mitochondrion is a tiny power plant. ,1
Animal Cells,27,They (mitochondria) break down food ,0
Animal Cells,28,Which releases energy for the cell ,0
Animal Cells,30,"Vacuoles, membrane-covered structures ",0
Animal Cells,31,(vacuoles) used for storage ,0
Animal Cells,33,"It (vacuole) can store water, food, and wastes. ",0
Animal Cells,34,The nucleus can signal a vacuole to release whatever it is storing. ,0
